2025-05-24 19:42:53,641 - VPA - INFO - Generating training data for AAPL
2025-05-24 19:42:53,641 - VPA - INFO - Loading historical data for AAPL from 2024-12-01 to 2025-03-01
2025-05-24 19:42:54,782 - VPA - INFO - Loaded 60 rows for 1d
2025-05-24 19:42:55,582 - VPA - INFO - Loaded 955 rows for 1h
2025-05-24 19:42:55,583 - VPA - INFO - Starting training data generation for AAPL into ./llm_training_data\AAPL_vpa_training_data.jsonl
2025-05-24 19:42:55,584 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:42:56,659 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:42:57,466 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:42:57,826 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:42:58,326 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:42:58,630 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:42:59,126 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:42:59,425 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:42:59,987 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:43:00,381 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:43:00,884 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:43:01,181 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:43:01,667 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:43:01,989 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:43:02,815 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:43:03,103 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:43:03,609 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:43:03,902 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:43:04,411 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:43:04,706 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:43:05,188 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:43:05,503 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:43:06,009 - VPA - INFO - Finished generating 11 training examples for AAPL in ./llm_training_data\AAPL_vpa_training_data.jsonl
2025-05-24 19:44:02,613 - VPA - INFO - Starting VPA LLM Training Data Generation Example...
2025-05-24 19:44:02,616 - VPA - INFO - Generating training data for MSFT
2025-05-24 19:44:02,616 - VPA - INFO - Loading historical data for MSFT from 2024-12-01 to 2025-03-01
2025-05-24 19:44:03,737 - VPA - INFO - Loaded 60 rows for 1d
2025-05-24 19:44:04,374 - VPA - INFO - Loaded 955 rows for 1h
2025-05-24 19:44:04,374 - VPA - INFO - Starting training data generation for MSFT into ./llm_training_data\MSFT_vpa_training_data.jsonl
2025-05-24 19:44:04,374 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1d
2025-05-24 19:44:05,505 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1h
2025-05-24 19:44:06,179 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1d
2025-05-24 19:44:06,464 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1h
2025-05-24 19:44:06,870 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1d
2025-05-24 19:44:07,261 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1h
2025-05-24 19:44:07,675 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1d
2025-05-24 19:44:08,060 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1h
2025-05-24 19:44:08,478 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1d
2025-05-24 19:44:08,860 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1h
2025-05-24 19:44:09,276 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1d
2025-05-24 19:44:09,664 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1h
2025-05-24 19:44:10,109 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1d
2025-05-24 19:44:10,401 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1h
2025-05-24 19:44:10,839 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1d
2025-05-24 19:44:11,127 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1h
2025-05-24 19:44:11,554 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1d
2025-05-24 19:44:11,845 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1h
2025-05-24 19:44:12,289 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1d
2025-05-24 19:44:12,712 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1h
2025-05-24 19:44:13,221 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1d
2025-05-24 19:44:13,512 - VPA - INFO - Processing MSFT data for point-in-time analysis, timeframe 1h
2025-05-24 19:44:13,939 - VPA - INFO - Finished generating 11 training examples for MSFT in ./llm_training_data\MSFT_vpa_training_data.jsonl
